userId|genre
1|Mystery
2|Comedy
3|Sci-Fi
4|Thriller
5|Drama
6|Comedy
7|Romance
8|Comedy
9|No suggestion
10|Comedy
11|Comedy
12|Comedy
13|Comedy
14|Children
15|Drama
16|Comedy
17|Action
18|No suggestion
19|Romance
20|Crime
21|Crime
22|Crime
23|Mystery
24|Comedy
25|Thriller
26|Thriller
27|Drama
28|No suggestion
29|Drama
30|Comedy
31|Adventure
32|Drama
33|No suggestion
34|Adventure
35|Mystery
36|No suggestion
37|No suggestion
38|Comedy
39|Drama
40|Comedy
41|Comedy
42|Drama
43|Drama
44|No suggestion
45|No suggestion
46|Comedy
47|Children
48|Drama
49|Crime
50|Mystery
51|Mystery
52|Comedy
53|Thriller
54|Drama
55|No suggestion
56|Drama
57|Drama
58|Thriller
59|Adventure
